mu0 A1 A2 dim_unstable
0.0 0.0 0.0 0
0.01 0.05773502691896258 0.0 3
0.02 0.08164965809277261 0.0 3
0.03 0.1 0.0 3
0.04 0.11547005383792516 0.0 3
0.05 0.12909944487358055 0.0 3
0.06 0.1414213562373095 0.0 3
0.07 0.15275252316519466 0.0 3
0.08 0.16329931618554522 0.0 3
0.09 0.17320508075688773 0.0 3
0.1 0.18257418583505536 0.0 3
0.11 0.19148542155126763 0.0 3
0.12 0.2 0.0 3
0.13 0.20816659994661327 0.0 3
0.14 0.21602468994692867 0.0 3
0.15 0.22360679774997896 0.0 3
0.16 0.23094010767585033 0.0 3
0.17 0.23804761428476168 0.0 3
0.18 0.2449489742783178 0.0 3
0.19 0.2516611478423583 0.0 3
0.2 0.2581988897471611 0.0 3
0.21 0.264575131106459 0.0 3
0.22 0.27080128015453203 0.0 3
0.23 0.27688746209726917 0.0 3
0.24 0.282842712474619 0.0 3
0.25 0.28867513459481287 0.0 3
0.26 0.2943920288775949 0.0 3
0.27 0.30000000000000004 0.0 3
0.28 0.30550504633038933 0.0 3
0.29 0.3109126351029605 0.0 3
0.3 0.31622776601683794 0.0 3
0.31 0.32145502536643183 0.0 3
0.32 0.32659863237109044 0.0 3
0.33 0.33166247903553997 0.0 3
0.34 0.33665016461206926 0.0 3
0.35 0.3415650255319866 0.0 3
0.36 0.34641016151377546 0.0 3
0.37 0.3511884584284246 0.0 3
0.38 0.3559026084010437 0.0 3
0.39 0.36055512754639896 0.0 3
0.4 0.3651483716701107 0.0 3
0.41 0.3696845502136472 0.0 3
0.42 0.3741657386773941 0.0 3
0.43 0.37859388972001823 0.0 3
0.44 0.38297084310253526 0.0 3
0.45 0.3872983346207417 0.0 3
0.46 0.3915780041490244 0.0 3
0.47 0.3958114029012639 0.0 3
0.48 0.4 0.0 3
0.49 0.40414518843273806 0.0 3
0.5 0.408248290463863 0.0 3
0.51 0.41231056256176607 0.0 3
0.52 0.41633319989322654 0.0 3
0.53 0.42031734043061636 0.0 3
0.54 0.42426406871192857 0.0 3
0.55 0.42817441928883765 0.0 3
0.56 0.43204937989385733 0.0 3
0.57 0.43588989435406733 0.0 3
0.58 0.43969686527576396 0.0 3
0.59 0.443471156521669 0.0 3
0.6 0.4472135954999579 0.0 3
0.61 0.4509249752822894 0.0 3
0.62 0.4546060565661952 0.0 3
0.63 0.458257569495584 0.0 3
0.64 0.46188021535170065 0.0 3
0.65 0.4654746681256314 0.0 3
0.66 0.469041575982343 0.0 3
0.67 0.47258156262526085 0.0 3
0.68 0.47609522856952335 0.0 3
0.69 0.4795831523312719 0.0 3
0.7 0.48304589153964794 0.0 3
0.71 0.4864839839775475 0.0 3
0.72 0.4898979485566356 0.0 3
0.73 0.49328828623162474 0.0 3
0.74 0.496655480858378 0.0 3
0.75 0.5 0.0 3
0.76 0.5033222956847166 0.0 3
0.77 0.5066228051190221 0.0 3
0.78 0.5099019513592785 0.0 3
0.79 0.5131601439446885 0.0 3
0.8 0.5163977794943222 0.0 3
0.81 0.5196152422706632 0.0 3
0.82 0.5228129047119374 0.0 3
0.83 0.5259911279353167 0.0 3
0.84 0.529150262212918 0.0 3
0.85 0.5322906474223771 0.0 3
0.86 0.5354126134736337 0.0 3
0.87 0.5385164807134504 0.0 3
0.88 0.5416025603090641 0.0 3
0.89 0.5446711546122731 0.0 3
0.9 0.5477225575051661 0.0 3
0.91 0.5507570547286103 0.0 3
0.92 0.5537749241945383 0.0 3
0.93 0.5567764362830022 0.0 3
0.94 0.5597618541248888 0.0 3
0.95 0.5627314338711378 0.0 3
0.96 0.565685424949238 0.0 3
0.97 0.5686240703077327 0.0 3
0.98 0.5715476066494082 0.0 3
0.99 0.5744562646538028 0.0 3
1.0 0.5773502691896257 0.0 3
1.01 0.5802298395176404 0.0 3
1.02 0.5830951894845301 0.0 3
1.03 0.5859465277082315 0.0 3
1.04 0.5887840577551898 0.0 3
1.05 0.5916079783099616 0.0 3
1.06 0.594418483337567 0.0 3
1.07 0.5972157622389639 0.0 3
1.08 0.6000000000000001 0.0 3
1.09 0.6027713773341709 0.0 3
1.1 0.6055300708194984 0.0 3
1.11 0.608276253029822 0.0 3
1.12 0.6110100926607787 0.0 3
1.13 0.6137317546507323 0.0 3
1.14 0.6164414002968976 0.0 3
1.15 0.6191391873668903 0.0 3
1.16 0.621825270205921 0.0 3
1.17 0.6244997998398398 0.0 3
1.18 0.6271629240742259 0.0 3
1.19 0.6298147875897061 0.0 3
1.2 0.6324555320336759 0.0 3
1.21 0.6350852961085883 0.0 3
1.22 0.6377042156569663 0.0 3
1.23 0.6403124237432849 0.0 3
1.24 0.6429100507328637 0.0 3
1.25 0.6454972243679028 0.0 3
1.26 0.648074069840786 0.0 3
1.27 0.6506407098647712 0.0 3
1.28 0.6531972647421809 0.0 3
1.29 0.6557438524302001 0.0 3
1.3 0.6582805886043833 0.0 3
1.31 0.660807586719967 0.0 3
1.32 0.6633249580710799 0.0 3
1.33 0.6658328118479393 0.0 3
1.34 0.6683312551921141 0.0 3
1.35 0.6708203932499369 0.0 3
1.36 0.6733003292241385 0.0 3
1.37 0.6757711644237765 0.0 3
1.38 0.6782329983125268 0.0 3
1.39 0.6806859285554046 0.0 3
1.4 0.6831300510639732 0.0 3
1.41 0.6855654600401044 0.0 3
1.42 0.6879922480183431 0.0 3
1.43 0.6904105059069326 0.0 3
1.44 0.6928203230275509 0.0 3
1.45 0.695221787153807 0.0 3
1.46 0.697614984548545 0.0 3
1.47 0.7 0.0 3
1.48 0.7023769168568492 0.0 3
1.49 0.7047458170621992 0.0 3
1.5 0.7071067811865476 0.0 3
1.51 0.7094598884597587 0.0 3
1.52 0.7118052168020874 0.0 3
1.53 0.714142842854285 0.0 3
1.54 0.7164728420068226 0.0 3
1.55 0.7187952884282609 0.0 3
1.56 0.7211102550927979 0.0 3
1.57 0.7234178138070235 0.0 3
1.58 0.725718035235908 0.0 3
1.59 0.7280109889280518 0.0 3
1.6 0.7302967433402214 0.0 3
1.61 0.7325753658611971 0.0 3
1.62 0.7348469228349535 0.0 3
1.63 0.7371114795831993 0.0 3
1.64 0.7393691004272944 0.0 3
1.65 0.7416198487095662 0.0 3
1.66 0.7438637868140466 0.0 3
1.67 0.7461009761866464 0.0 3
1.68 0.7483314773547882 0.0 3
1.69 0.7505553499465135 0.0 3
1.7 0.752772652709081 0.0 3
1.71 0.7549834435270749 0.0 3
1.72 0.7571877794400365 0.0 3
1.73 0.7593857166596345 0.0 3
1.74 0.7615773105863908 0.0 3
1.75 0.7637626158259734 0.0 3
1.76 0.7659416862050705 0.0 3
1.77 0.7681145747868608 0.0 3
1.78 0.7702813338860895 0.0 3
1.79 0.7724420150837645 0.0 3
1.8 0.7745966692414834 0.0 3
1.81 0.776745346515403 0.0 3
1.82 0.7788880963698616 0.0 3
1.83 0.7810249675906654 0.0 3
1.84 0.7831560082980488 0.0 3
1.85 0.7852812659593165 0.0 3
1.86 0.7874007874011811 0.0 3
1.87 0.7895146188218007 0.0 3
1.88 0.7916228058025278 0.0 3
1.89 0.7937253933193772 0.0 3
1.9 0.7958224257542215 0.0 3
1.91 0.7979139469057215 0.0 3
1.92 0.8 0.0 3
1.93 0.8020806277010643 0.0 3
1.94 0.8041558721209878 0.0 3
1.95 0.806225774829855 0.0 3
1.96 0.8082903768654761 0.0 3
1.97 0.8103497187428812 0.0 3
1.98 0.812403840463596 0.0 3
1.99 0.8144527815247078 0.0 3
2.0 0.816496580927726 0.0 3
2.01 0.818535277187245 0.0 3
2.02 0.8205689083394114 0.0 3
2.03 0.8225975119502044 0.0 3
2.04 0.8246211251235321 0.0 3
2.05 0.8266397845091495 0.0 3
2.06 0.8286535263104036 0.0 3
2.07 0.8306623862918074 0.0 3
2.08 0.8326663997864531 0.0 3
2.09 0.834665601703261 0.0 3
2.1 0.8366600265340756 0.0 3
2.11 0.8386497083606083 0.0 3
2.12 0.8406346808612327 0.0 3
2.13 0.8426149773176358 0.0 3
2.14 0.8445906306213286 0.0 3
2.15 0.8465616732800196 0.0 3
2.16 0.8485281374238571 0.0 3
2.17 0.8504900548115382 0.0 3
2.18 0.8524474568362947 0.0 3
2.19 0.8544003745317531 0.0 3
2.2 0.8563488385776753 0.0 3
2.21 0.8582928793055822 0.0 3
2.22 0.8602325267042628 0.0 3
2.23 0.8621678104251708 0.0 3
2.24 0.8640987597877147 0.0 3
2.25 0.8660254037844386 0.0 3
2.26 0.8679477710861024 0.0 3
2.27 0.8698658900466593 0.0 3
2.28 0.8717797887081347 0.0 3
2.29 0.8736894948054105 0.0 3
2.3 0.8755950357709131 0.0 3
2.31 0.8774964387392122 0.0 3
2.32 0.8793937305515279 0.0 3
2.33 0.8812869377601524 0.0 3
2.34 0.8831760866327847 0.0 3
2.35 0.8850612031567836 0.0 3
2.36 0.886942313043338 0.0 3
2.37 0.8888194417315589 0.0 3
2.38 0.8906926143924925 0.0 3
2.39 0.892561855933059 0.0 3
2.4 0.8944271909999159 0.0 3
2.41 0.8962886439832501 0.0 3
2.42 0.8981462390204986 0.0 3
2.43 0.9 0.0 3
2.44 0.9018499505645788 0.0 3
2.45 0.903696114115064 0.0 3
2.46 0.9055385138137416 0.0 3
2.47 0.9073771725877466 0.0 3
2.48 0.9092121131323904 0.0 3
2.49 0.9110433579144299 0.0 3
2.5 0.9128709291752769 0.0 3
2.51 0.9146948489341495 0.0 3
2.52 0.916515138991168 0.0 3
2.53 0.918331820930394 0.0 3
2.54 0.9201449161228175 0.0 3
2.55 0.9219544457292888 0.0 3
2.56 0.9237604307034013 0.0 3
2.57 0.9255628917943214 0.0 3
2.58 0.9273618495495703 0.0 3
2.59 0.9291573243177569 0.0 3
2.6 0.9309493362512627 0.0 3
2.61 0.9327379053088815 0.0 3
2.62 0.9345230512584125 0.0 3
2.63 0.9363047936792093 0.0 3
2.64 0.938083151964686 0.0 3
2.65 0.939858145324779 0.0 3
2.66 0.941629792788369 0.0 3
2.67 0.9433981132056604 0.0 3
2.68 0.9451631252505217 0.0 3
2.69 0.946924847422786 0.0 3
2.7 0.9486832980505138 0.0 3
2.71 0.9504384952922168 0.0 3
2.72 0.9521904571390467 0.0 3
2.73 0.9539392014169457 0.0 3
2.74 0.9556847457887635 0.0 3
2.75 0.9574271077563381 0.0 3
2.76 0.9591663046625438 0.0 3
2.77 0.960902353693305 0.0 3
2.78 0.9626352718795768 0.0 3
2.79 0.9643650760992956 0.0 3
2.8 0.9660917830792959 0.0 3
2.81 0.9678154093971983 0.0 3
2.82 0.9695359714832658 0.0 3
2.83 0.971253485622231 0.0 3
2.84 0.972967967955095 0.0 3
2.85 0.9746794344808964 0.0 3
2.86 0.976387901058454 0.0 3
2.87 0.9780933834080806 0.0 3
2.88 0.9797958971132712 0.0 3
2.89 0.9814954576223638 0.0 3
2.9 0.983192080250175 0.0 3
2.91 0.9848857801796105 0.0 3
2.92 0.9865765724632495 0.0 3
2.93 0.9882644720249062 0.0 3
2.94 0.9899494936611666 0.0 3
2.95 0.9916316520429012 0.0 3
2.96 0.993310961716756 0.0 3
2.97 0.99498743710662 0.0 3
2.98 0.9966610925150702 0.0 3
2.99 0.9983319421247958 0.0 3
3.0 1.0 0.0 3
3.01 1.0016652800877812 0.0 3
3.02 1.003327796219494 0.0 3
3.03 1.004987562112089 0.0 3
3.04 1.0066445913694333 0.0 3
3.05 1.0082988974836116 0.0 3
3.06 1.0099504938362078 0.0 3
3.07 1.0115993936995678 0.0 3
3.08 1.0132456102380443 0.0 3
3.09 1.014889156509222 0.0 3
3.1 1.0165300454651272 0.0 3
3.11 1.0181682899534177 0.0 3
