mu0 A1 A2 dim_unstable
0.0 -0.0 -0.0 0
0.01 -0.025819888974716113 -0.025819888974716113 1
0.02 -0.03651483716701107 -0.03651483716701107 1
0.03 -0.044721359549995794 -0.044721359549995794 1
0.04 -0.051639777949432225 -0.051639777949432225 1
0.05 -0.057735026918962574 -0.057735026918962574 1
0.06 -0.06324555320336758 -0.06324555320336758 1
0.07 -0.06831300510639733 -0.06831300510639733 1
0.08 -0.07302967433402215 -0.07302967433402215 1
0.09 -0.07745966692414834 -0.07745966692414834 1
0.1 -0.0816496580927726 -0.0816496580927726 1
0.11 -0.08563488385776753 -0.08563488385776753 1
0.12 -0.08944271909999159 -0.08944271909999159 1
0.13 -0.09309493362512629 -0.09309493362512629 1
0.14 -0.0966091783079296 -0.0966091783079296 1
0.15 -0.1 -0.1 1
0.16 -0.10327955589886445 -0.10327955589886445 1
0.17 -0.10645812948447543 -0.10645812948447543 1
0.18 -0.10954451150103321 -0.10954451150103321 1
0.19 -0.11254628677422755 -0.11254628677422755 1
0.2 -0.11547005383792515 -0.11547005383792515 1
0.21 -0.11832159566199232 -0.11832159566199232 1
0.22 -0.12110601416389967 -0.12110601416389967 1
0.23 -0.12382783747337807 -0.12382783747337807 1
0.24 -0.12649110640673517 -0.12649110640673517 1
0.25 -0.12909944487358058 -0.12909944487358058 1
0.26 -0.13165611772087668 -0.13165611772087668 1
0.27 -0.13416407864998742 -0.13416407864998742 1
0.28 -0.13662601021279466 -0.13662601021279466 1
0.29 -0.1390443574307614 -0.1390443574307614 1
0.3 -0.1414213562373095 -0.1414213562373095 1
0.31 -0.14375905768565217 -0.14375905768565217 1
0.32 -0.1460593486680443 -0.1460593486680443 1
0.33 -0.14832396974191328 -0.14832396974191328 1
0.34 -0.15055453054181622 -0.15055453054181622 1
0.35 -0.15275252316519466 -0.15275252316519466 1
0.36 -0.15491933384829668 -0.15491933384829668 1
0.37 -0.15705625319186328 -0.15705625319186328 1
0.38 -0.1591644851508443 -0.1591644851508443 1
0.39 -0.161245154965971 -0.161245154965971 1
0.4 -0.1632993161855452 -0.1632993161855452 1
0.41 -0.16532795690182991 -0.16532795690182991 1
0.42 -0.1673320053068151 -0.1673320053068151 1
0.43 -0.16931233465600393 -0.16931233465600393 1
0.44 -0.17126976771553507 -0.17126976771553507 1
0.45 -0.17320508075688773 -0.17320508075688773 1
0.46 -0.17511900715418263 -0.17511900715418263 1
0.47 -0.1770122406313567 -0.1770122406313567 1
0.48 -0.17888543819998318 -0.17888543819998318 1
0.49 -0.1807392228230128 -0.1807392228230128 1
0.5 -0.18257418583505539 -0.18257418583505539 1
0.51 -0.18439088914585777 -0.18439088914585777 1
0.52 -0.18618986725025258 -0.18618986725025258 1
0.53 -0.1879716290649558 -0.1879716290649558 1
0.54 -0.18973665961010278 -0.18973665961010278 1
0.55 -0.19148542155126763 -0.19148542155126763 1
